,Type,Date,Ship Date,Deliv Date,Terms,Due Date,Num,P. O. #,Name,Qty,Invoiced,Backordered,Amount,Item,Rep,Open Balance,Inventory Site
Inventory,,,,,,,,,,,,,,,,,
Accessory,,,,,,,,,,,,,,,,,
,Sales Order,05/23/2025,08/13/2025,,Net 30,06/22/2025,SO-20250726,41481439,Inficon Inc.,30,0,30,6450,CPU:i3-12100TE,A777,6450,WH01S-NTA
,Sales Order,05/23/2025,08/13/2025,,Net 30,06/22/2025,SO-20250728,41481440,Inficon Inc.,30,0,30,6450,CPU:i3-12100TE,A777,6450,WH01S-NTA
Total i3-12100TE,,,,,,,,,,134,0,134,28810,,,28810,
i5-14500,,,,,,,,,,,,,,,,,
,Sales Order,09/04/2025,10/14/2025,,Net 30,10/04/2025,SO-20251253,PO4056,"Seafloor Systems, Inc.",8,0,8,2880,CPU:i5-14500,A800,2880,WH01S-NTA
Total i5-14500,,,,,,,,,,8,0,8,2880,,,2880,
i5-8500T,,,,,,,,,,,,,,,,,
,Sales Order,09/03/2025,10/08/2025,,Prepay,09/03/2025,SO-20251251,32539,RIDGELINE ENGINEERING CO.,3,0,3,885,CPU:i5-8500T,A800,885,WH01S-NTA
,Sales Order,09/11/2025,10/10/2025,,Prepay,09/11/2025,SO-20251295,32592,RIDGELINE ENGINEERING CO.,1,0,1,295,CPU:i5-8500T,A800,295,WH01S-NTA
Total i5-8500T,,,,,,,,,,4,0,4,1180,,,1180,
i5-9500E,,,,,,,,,,,,,,,,,
,Sales Order,08/28/2025,10/01/2025,,Prepay,08/28/2025,SO-20251231,J936-09,Vortex Systems,1,0,1,300,CPU:i5-9500E,A777,300,WH01S-NTA
Total i5-9500E,,,,,,,,,,1,0,1,300,,,300,
i5-9500TE,,,,,,,,,,,,,,,,,
,Sales Order,09/09/2025,10/31/2025,,Net 30,10/09/2025,SO-20251281,A000859800,"L3HARRIS TECHNOLOGIES, INC.",7,0,7,2100,CPU:i5-9500TE,A777,2100,WH01S-NTA
Total i5-9500TE,,,,,,,,,,7,0,7,2100,,,2100,
i7-12700,,,,,,,,,,,,,,,,,
,Sales Order,09/11/2025,10/31/2025,,Net 30,10/11/2025,SO-20251296,505701,LASERAX INC,6,0,6,3420,CPU:i7-12700,A702,3420,WH01S-NTA
,Sales Order,09/12/2025,10/24/2025,,Prepay,09/12/2025,SO-20251306,PO-036318,ADVANCED TECH & RESEARCH,3,0,3,1710,CPU:i7-12700,A777,1710,WH01S-NTA
,Sales Order,09/24/2025,12/31/2025,,Net 30,10/24/2025,SO-20251354,00505842(1),LASERAX INC,1,0,1,570,CPU:i7-12700,A702,570,WH01S-NTA
,Sales Order,09/25/2025,12/31/2025,,Net 30,10/25/2025,SO-20251359,505857,LASERAX INC,2,0,2,1140,CPU:i7-12700,A702,1140,WH01S-NTA
Total i7-12700,,,,,,,,,,12,0,12,6840,,,6840,
i7-13700TE,,,,,,,,,,,,,,,,,
,Sales Order,09/19/2025,12/31/2025,,Net 30,10/19/2025,SO-20251333,8000,Monteris Medical,5,0,5,2925,CPU:i7-13700TE,A689,2925,WH01S-NTA
,Sales Order,09/29/2025,10/10/2025,,Net 30,10/29/2025,SO-20251375,P96853,"CoastIPC, Inc.",4,0,4,1940,CPU:i7-13700TE,A689C,1940,WH01S-NTA
Total i7-13700TE,,,,,,,,,,9,0,9,4865,,,4865,
i7-14700,,,,,,,,,,,,,,,,,
,Sales Order,08/28/2025,10/21/2025,,Net 30,09/27/2025,SO-20251229,CYNGN-1275,CYNGN INC.,4,0,4,2300,CPU:i7-14700,A800,2300,WH01S-NTA
,Sales Order,09/04/2025,11/14/2025,,Prepay,09/04/2025,SO-20251259,405,Candela Technologies Inc.,1,0,1,575,CPU:i7-14700,A800,575,WH01S-NTA
,Sales Order,09/17/2025,10/15/2025,,Net 30,10/17/2025,SO-20251316,895-1485908HN,SILGAN WHITE CAP LLC,1,0,1,575,CPU:i7-14700,A689,575,WH01S-NTA
,Sales Order,09/29/2025,10/10/2025,,Prepay,09/29/2025,SO-20251370,A083706,Fox Corporation,1,0,1,575,CPU:i7-14700,A689,575,WH01S-NTA
,Sales Order,09/29/2025,12/31/2025,,Net 15,10/14/2025,SO-20251378,724,Aerflite Canada Inc.,2,0,2,1150,CPU:i7-14700,A777,1150,WH01S-NTA
,Sales Order,09/29/2025,12/31/2025,,Net 15,10/14/2025,SO-20251377,723,Aerflite Canada Inc.,1,0,1,575,CPU:i7-14700,A777,575,WH01S-NTA
,Sales Order,09/29/2025,12/31/2025,,Net 15,10/14/2025,SO-20251376,722,Aerflite Canada Inc.,1,0,1,575,CPU:i7-14700,A777,575,WH01S-NTA
Total i7-14700,,,,,,,,,,11,0,11,6325,,,6325,
i7-8700,,,,,,,,,,,,,,,,,
,Sales Order,07/25/2025,09/17/2025,,Net 30,08/24/2025,SO-20251067,310P062116,"Flanders Electric Motor Service, LLC(IN)",2,0,2,900,CPU:i7-8700,A702,900,WH01S-NTA
Total i7-8700,,,,,,,,,,2,0,2,900,,,900,
i7-9700,,,,,,,,,,,,,,,,,
,Sales Order,08/27/2025,10/21/2025,,Prepay,08/27/2025,SO-20251227,6100075127,The Timken Company,1,0,1,485,CPU:i7-9700,A702,485,WH01S-NTA
,Sales Order,09/12/2025,10/30/2025,,Prepay,09/12/2025,SO-20251299,2581562,ABB Electrification Canada inc.,1,0,1,485,CPU:i7-9700,A702,485,WH01S-NTA
,Sales Order,09/29/2025,10/07/2025,,Net 30,10/29/2025,SO-20251382,P96864,"CoastIPC, Inc.",2,0,2,810,CPU:i7-9700,A689C,810,WH01S-NTA
Total i7-9700,,,,,,,,,,4,0,4,1780,,,1780,
i7-9700E,,,,,,,,,,,,,,,,,
,Sales Order,06/04/2025,10/01/2025,,Net 30,07/04/2025,SO-20250789,267056,INDUSTRIES MACHINEX INC.,20,0,20,9700,CPU:i7-9700E,A702,9700,WH01S-NTA
,Sales Order,09/05/2025,10/24/2025,,Net 30,10/05/2025,SO-20251260,58059,"INFLEXION POINT, LLC",20,0,20,9700,CPU:i7-9700E,A777,9700,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Net 30,10/30/2025,SO-20251397,452186,PaR SYSTEMS LLC,1,0,1,485,CPU:i7-9700E,A689,485,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Net 30,10/30/2025,SO-20251398,452186,PaR SYSTEMS LLC,1,0,1,485,CPU:i7-9700E,A689,485,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Net 30,10/30/2025,SO-20251399,452186,PaR SYSTEMS LLC,1,0,1,485,CPU:i7-9700E,A689,485,WH01S-NTA
Total i7-9700E,,,,,,,,,,43,0,43,20855,,,20855,
i7-9700TE,,,,,,,,,,,,,,,,,
,Sales Order,05/02/2025,10/03/2025,,Net 30,06/01/2025,SO-20250638,PO064732,"FireFly Automatix, Inc.",10,0,10,4850,CPU:i7-9700TE,A800,4850,WH01S-NTA
,Sales Order,05/02/2025,11/13/2025,,Net 30,06/01/2025,SO-20250639,PO064732,"FireFly Automatix, Inc.",10,0,10,4850,CPU:i7-9700TE,A800,4850,WH01S-NTA
,Sales Order,05/02/2025,12/12/2025,,Net 30,06/01/2025,SO-20250640,PO064732,"FireFly Automatix, Inc.",10,0,10,4850,CPU:i7-9700TE,A800,4850,WH01S-NTA
,Sales Order,05/02/2025,01/13/2026,,Net 30,06/01/2025,SO-20250641,PO064732,"FireFly Automatix, Inc.",10,0,10,4850,CPU:i7-9700TE,A800,4850,WH01S-NTA
,Sales Order,05/02/2025,02/13/2026,,Net 30,06/01/2025,SO-20250642,PO064732,"FireFly Automatix, Inc.",10,0,10,4850,CPU:i7-9700TE,A800,4850,WH01S-NTA
,Sales Order,09/11/2025,10/03/2025,,Prepay,09/11/2025,SO-20251298,N091125,Ball Horticultural Company,3,0,3,1215,CPU:i7-9700TE,A689,1215,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251392,QTD_Greenzie_250924,Greenzie,5,0,5,2425,CPU:i7-9700TE,A777,2425,WH01S-NTA
Total i7-9700TE,,,,,,,,,,58,0,58,27890,,,27890,
i9-12900,,,,,,,,,,,,,,,,,
,Sales Order,09/26/2025,12/31/2025,,Net 30,10/26/2025,SO-20251365,L054,ASRC Federal,2,0,2,1600,CPU:i9-12900,A702,1600,WH01S-NTA
Total i9-12900,,,,,,,,,,2,0,2,1600,,,1600,
i9-13900,,,,,,,,,,,,,,,,,
,Sales Order,06/06/2025,07/09/2025,,Prepay,06/06/2025,SO-20250800,AI-001279,"Applied Intuition, Inc.",2,0,2,1630,CPU:i9-13900,A800,1630,WH01S-NTA
,Sales Order,07/15/2025,08/15/2025,,Prepay,07/15/2025,SO-20250995,"AI-001620, AI-001621","Applied Intuition, Inc.",4,0,4,3260,CPU:i9-13900,A800,3260,WH01S-NTA
,Sales Order,09/03/2025,10/20/2025,,Net 45,10/18/2025,SO-20251250,7000610874,Boston Scientific,1,0,1,815,CPU:i9-13900,A689,815,WH01S-NTA
,Sales Order,09/09/2025,10/21/2025,,Net 45,10/24/2025,SO-20251283,7000612884,Boston Scientific,3,0,3,2445,CPU:i9-13900,A689,2445,WH01S-NTA
,Sales Order,09/17/2025,09/26/2025,,Prepay,09/17/2025,SO-20251319,PO-64250917_Neousys,"One Off Robotics, LLC",1,0,1,815,CPU:i9-13900,A689,815,WH01S-NTA
,Sales Order,09/18/2025,10/15/2025,,Net 45,11/02/2025,SO-20251324,7000615510,Boston Scientific,1,0,1,815,CPU:i9-13900,A689,815,WH01S-NTA
,Sales Order,09/18/2025,10/15/2025,,Net 45,11/02/2025,SO-20251323,7000615796,Boston Scientific,1,0,1,815,CPU:i9-13900,A689,815,WH01S-NTA
,Sales Order,09/18/2025,10/24/2025,,Net 45,11/02/2025,SO-20251325,7000615802,Boston Scientific,4,0,4,3260,CPU:i9-13900,A689,3260,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Net 45,11/14/2025,SO-20251393,7000618386,Boston Scientific,1,0,1,815,CPU:i9-13900,A689,815,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Net 45,11/14/2025,SO-20251395,7000620183,Boston Scientific,1,0,1,815,CPU:i9-13900,A689,815,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Net 45,11/14/2025,SO-20251394,7000619548,Boston Scientific,2,0,2,1630,CPU:i9-13900,A689,1630,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251400,4017695,F.K. MACHINERY LTD.,1,0,1,815,CPU:i9-13900,A702,815,WH01S-NTA
Total i9-13900,,,,,,,,,,22,0,22,17930,,,17930,
i9-13900E,,,,,,,,,,,,,,,,,
,Sales Order,09/03/2025,10/31/2025,,Net 30,10/03/2025,SO-20251248,PO-0138392,Carnegie Robotics LLC,3,0,3,2040,CPU:i9-13900E,A702,2040,WH01S-NTA
Total i9-13900E,,,,,,,,,,3,0,3,2040,,,2040,
i9-13900TE,,,,,,,,,,,,,,,,,
,Sales Order,09/10/2025,10/03/2025,,Prepay,09/10/2025,SO-20251286, QTD_PeakWiFi_250909,"Peak WiFi, LLC",1,0,1,815,CPU:i9-13900TE,A800,815,WH01S-NTA
Total i9-13900TE,,,,,,,,,,1,0,1,815,,,815,
i9-14900,,,,,,,,,,,,,,,,,
,Sales Order,08/12/2025,10/15/2025,,Prepay,08/12/2025,SO-20251145,7274,Near Earth Autonomy,1,0,1,805,CPU:i9-14900,A702,805,WH01S-NTA
,Sales Order,08/13/2025,10/22/2025,,Prepay,08/13/2025,SO-20251153,QTD_AIM_2507172,AIM Intelligent Machines,7,0,7,5635,CPU:i9-14900,A800,5635,WH01S-NTA
,Sales Order,08/15/2025,10/03/2025,,Net 30,09/14/2025,SO-20251166,PO-0138172,Carnegie Robotics LLC,2,0,2,1610,CPU:i9-14900,A702,1610,WH01S-NTA
,Sales Order,08/19/2025,11/07/2025,,Prepay,08/19/2025,SO-20251174,7291,Near Earth Autonomy,2,0,2,1610,CPU:i9-14900,A702,1610,WH01S-NTA
,Sales Order,08/28/2025,10/21/2025,,Prepay,08/28/2025,SO-20251236, QTD_USACE_2507093,"US Army Corps of Engineers, ERDC-IEI",2,0,2,1610,CPU:i9-14900,A689,1610,WH01S-NTA
,Sales Order,09/04/2025,10/02/2025,,Prepay,09/04/2025,SO-20251257,DB02927,"Leidos, Inc. (MS)",1,0,1,805,CPU:i9-14900,A689,805,WH01S-NTA
,Sales Order,09/05/2025,10/24/2025,,Net 30,10/05/2025,SO-20251261,1513611,Universit?Laval,1,0,1,805,CPU:i9-14900,A777,805,WH01S-NTA
,Sales Order,09/11/2025,10/24/2025,,Net 30,10/11/2025,SO-20251294,7719,Evolution Motion Solutions,1,0,1,805,CPU:i9-14900,A702,805,WH01S-NTA
,Sales Order,09/12/2025,10/20/2025,,Net 30,10/12/2025,SO-20251304,7736,Evolution Motion Solutions,1,0,1,805,CPU:i9-14900,A702,805,WH01S-NTA
,Sales Order,09/23/2025,12/31/2025,,Net 30,10/23/2025,SO-20251348,1034004597,FEV North America Inc.,1,0,1,805,CPU:i9-14900,A702,805,WH01S-NTA
,Sales Order,09/30/2025,10/07/2025,,Net 30,10/30/2025,SO-20251383,P96863,"CoastIPC, Inc.",1,0,1,675,CPU:i9-14900,A689C,675,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251384,5905,Palladyne AI,8,0,8,6440,CPU:i9-14900,A800,6440,WH01S-NTA
Total i9-14900,,,,,,,,,,28,0,28,22410,,,22410,
Total CPU,,,,,,,,,,388,0,388,176720,,,176720,
Exp- Socket Modem,,,,,,,,,,,,,,,,,
Risr-M2B-mPCIe-SIMslot,,,,,,,,,,,,,,,,,
,Sales Order,03/17/2025,09/02/2025,,Prepay,03/17/2025,SO-20250391,412702,"Urban Transportation Associates, Inc.",59,0,59,1003,Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot,A702,1003,WH01S-NTA
,Sales Order,08/18/2025,10/08/2025,,Net 60,10/17/2025,SO-20251169,612452,"Uber Technologies, Inc.",20,0,20,340,Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot,A800,340,WH01S-NTA
,Sales Order,08/19/2025,10/17/2025,,Net 60,10/18/2025,SO-20251175,612452,"Uber Technologies, Inc.",20,0,20,340,Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot,A800,340,WH01S-NTA
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251176,612452,"Uber Technologies, Inc.",20,0,20,340,Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot,A800,340,WH01S-NTA
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251177,612452,"Uber Technologies, Inc.",20,0,20,340,Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot,A800,340,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251179,612452,"Uber Technologies, Inc.",20,0,20,340,Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot,A800,340,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251178,612452,"Uber Technologies, Inc.",25,0,25,425,Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot,A800,425,WH01S-NTA
,Sales Order,08/25/2025,10/15/2025,,Net 30,09/24/2025,SO-20251205,PO_5769,"ACR-Advanced Construction Robotics, Inc.",3,0,3,66,Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot,A702,66,WH01S-NTA
,Sales Order,09/26/2025,10/14/2025,,Prepay,09/26/2025,SO-20251369,165320,"Northbay Networks, Inc.",4,0,4,68,Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot,A800,68,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251392,QTD_Greenzie_250924,Greenzie,5,0,5,85,Exp- Socket Modem:Risr-M2B-mPCIe-SIMslot,A777,85,WH01S-NTA
Total Risr-M2B-mPCIe-SIMslot,,,,,,,,,,196,0,196,3347,,,3347,
Total Exp- Socket Modem,,,,,,,,,,196,0,196,3347,,,3347,
Expansion-Module,,,,,,,,,,,,,,,,,
E-mPCIe-BTWifi-WT-6218_Mod_15CM,,,,,,,,,,,,,,,,,
,Sales Order,09/22/2025,01/02/2026,,Prepay,09/22/2025,SO-20251343,QTD_CERL_2509173,CERL-Construction Engineering Research La,1,0,1,85,Expansion-Module:E-mPCIe-BTWifi-WT-6218_Mod_15CM,A689,85,WH01S-NTA
Total E-mPCIe-BTWifi-WT-6218_Mod_15CM,,,,,,,,,,1,0,1,85,,,85,
E-mPCIe-BTWifi-WT-6218_Mod_40CM,,,,,,,,,,,,,,,,,
,Sales Order,08/05/2025,10/14/2025,,Prepay,08/05/2025,SO-20251111,PC12084709,NASA-Johnson Space Center,1,0,1,83,Expansion-Module:E-mPCIe-BTWifi-WT-6218_Mod_40CM,A689,83,WH01S-NTA
,Sales Order,08/12/2025,10/15/2025,,Prepay,08/12/2025,SO-20251145,7274,Near Earth Autonomy,1,0,1,115,Expansion-Module:E-mPCIe-BTWifi-WT-6218_Mod_40CM,A702,115,WH01S-NTA
,Sales Order,08/19/2025,11/07/2025,,Prepay,08/19/2025,SO-20251174,7291,Near Earth Autonomy,2,0,2,230,Expansion-Module:E-mPCIe-BTWifi-WT-6218_Mod_40CM,A702,230,WH01S-NTA
,Sales Order,09/23/2025,12/31/2025,,Net 30,10/23/2025,SO-20251348,1034004597,FEV North America Inc.,1,0,1,83,Expansion-Module:E-mPCIe-BTWifi-WT-6218_Mod_40CM,A702,83,WH01S-NTA
Total E-mPCIe-BTWifi-WT-6218_Mod_40CM,,,,,,,,,,5,0,5,511,,,511,
E-mPCIe-GPS-M800_Mod_40CM,,,,,,,,,,,,,,,,,
,Sales Order,08/05/2025,10/14/2025,,Prepay,08/05/2025,SO-20251111,PC12084709,NASA-Johnson Space Center,1,0,1,68,Expansion-Module:E-mPCIe-GPS-M800_Mod_40CM,A689,68,WH01S-NTA
,Sales Order,09/23/2025,12/31/2025,,Net 30,10/23/2025,SO-20251348,1034004597,FEV North America Inc.,1,0,1,68,Expansion-Module:E-mPCIe-GPS-M800_Mod_40CM,A702,68,WH01S-NTA
Total E-mPCIe-GPS-M800_Mod_40CM,,,,,,,,,,2,0,2,136,,,136,
Extnd-mPCIeHS,,,,,,,,,,,,,,,,,
,Sales Order,03/05/2025,04/24/2026,,Net 30,04/04/2025,SO-20250329,PO208679,Noah Medical U.S.,2,0,2,10,Expansion-Module:Extnd-mPCIeHS,A800,10,WH01S-NTA
,Sales Order,03/05/2025,06/24/2026,,Net 30,04/04/2025,SO-20250330,PO208679,Noah Medical U.S.,5,0,5,25,Expansion-Module:Extnd-mPCIeHS,A800,25,WH01S-NTA
,Sales Order,03/05/2025,08/25/2026,,Net 30,04/04/2025,SO-20250331,PO208679,Noah Medical U.S.,5,0,5,25,Expansion-Module:Extnd-mPCIeHS,A800,25,WH01S-NTA
,Sales Order,03/05/2025,12/26/2025,,Net 30,04/04/2025,SO-20250332,PO208679,Noah Medical U.S.,1,0,1,5,Expansion-Module:Extnd-mPCIeHS,A800,5,WH01S-NTA
,Sales Order,03/05/2025,10/24/2025,,Net 30,04/04/2025,SO-20250326,PO208679,Noah Medical U.S.,5,0,5,25,Expansion-Module:Extnd-mPCIeHS,A800,25,WH01S-NTA
,Sales Order,03/05/2025,12/26/2025,,Net 30,04/04/2025,SO-20250327,PO208679,Noah Medical U.S.,5,0,5,25,Expansion-Module:Extnd-mPCIeHS,A800,25,WH01S-NTA
,Sales Order,03/05/2025,02/20/2026,,Net 30,04/04/2025,SO-20250328,PO208679,Noah Medical U.S.,5,0,5,25,Expansion-Module:Extnd-mPCIeHS,A800,25,WH01S-NTA
,Sales Order,03/05/2025,04/24/2026,,Net 30,04/04/2025,SO-20250329,PO208679,Noah Medical U.S.,3,0,3,15,Expansion-Module:Extnd-mPCIeHS,A800,15,WH01S-NTA
,Sales Order,07/22/2025,09/11/2025,,Net 30,08/21/2025,SO-20251027,83150,MEDATech Engineering Services Ltd.,4,0,4,20,Expansion-Module:Extnd-mPCIeHS,A702,20,WH01S-NTA
,Sales Order,09/04/2025,10/14/2025,,Net 30,10/04/2025,SO-20251253,PO4056,"Seafloor Systems, Inc.",8,0,8,40,Expansion-Module:Extnd-mPCIeHS,A800,40,WH01S-NTA
,Sales Order,09/11/2025,10/03/2025,,Prepay,09/11/2025,SO-20251298,N091125,Ball Horticultural Company,3,0,3,15,Expansion-Module:Extnd-mPCIeHS,A689,15,WH01S-NTA
,Sales Order,09/12/2025,10/24/2025,,Prepay,09/12/2025,SO-20251306,PO-036318,ADVANCED TECH & RESEARCH,3,0,3,15,Expansion-Module:Extnd-mPCIeHS,A777,15,WH01S-NTA
,Sales Order,09/22/2025,12/19/2025,,Prepay,09/22/2025,SO-20251341,PO51658,"Graftek Imaging, Inc.",1,0,1,5,Expansion-Module:Extnd-mPCIeHS,A689,5,WH01S-NTA
,Sales Order,09/26/2025,12/31/2025,,Net 30,10/26/2025,SO-20251366,PO070225,"FireFly Automatix, Inc.",6,0,6,30,Expansion-Module:Extnd-mPCIeHS,A802,30,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251391,QTD_IES_2508263,Intelligent Energy Systems,2,0,2,10,Expansion-Module:Extnd-mPCIeHS,A800,10,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251400,4017695,F.K. MACHINERY LTD.,1,0,1,5,Expansion-Module:Extnd-mPCIeHS,A702,5,WH01S-NTA
Total Extnd-mPCIeHS,,,,,,,,,,59,0,59,295,,,295,
GPSkit-mPCIe_GPS-M800,,,,,,,,,,,,,,,,,
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251391,QTD_IES_2508263,Intelligent Energy Systems,2,0,2,70,Expansion-Module:GPSkit-mPCIe_GPS-M800,A800,70,WH01S-NTA
Total GPSkit-mPCIe_GPS-M800,,,,,,,,,,2,0,2,70,,,70,
M.2-CAN-B2S1,,,,,,,,,,,,,,,,,
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251392,QTD_Greenzie_250924,Greenzie,5,0,5,685,Expansion-Module:M.2-CAN-B2S1,A777,685,WH01S-NTA
Total M.2-CAN-B2S1,,,,,,,,,,5,0,5,685,,,685,
M.2-LTE-7455,,,,,,,,,,,,,,,,,
,Sales Order,03/17/2025,09/02/2025,,Prepay,03/17/2025,SO-20250391,412702,"Urban Transportation Associates, Inc.",59,0,59,10384,Expansion-Module:M.2-LTE-7455,A702,10384,WH01S-NTA
,Sales Order,08/18/2025,10/08/2025,,Net 60,10/17/2025,SO-20251169,612452,"Uber Technologies, Inc.",20,0,20,3320,Expansion-Module:M.2-LTE-7455,A800,3320,WH01S-NTA
,Sales Order,08/19/2025,10/17/2025,,Net 60,10/18/2025,SO-20251175,612452,"Uber Technologies, Inc.",20,0,20,3320,Expansion-Module:M.2-LTE-7455,A800,3320,WH01S-NTA
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251176,612452,"Uber Technologies, Inc.",20,0,20,3320,Expansion-Module:M.2-LTE-7455,A800,3320,WH01S-NTA
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251177,612452,"Uber Technologies, Inc.",20,0,20,3320,Expansion-Module:M.2-LTE-7455,A800,3320,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251179,612452,"Uber Technologies, Inc.",20,0,20,3320,Expansion-Module:M.2-LTE-7455,A800,3320,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251178,612452,"Uber Technologies, Inc.",25,0,25,4150,Expansion-Module:M.2-LTE-7455,A800,4150,WH01S-NTA
,Sales Order,08/25/2025,10/15/2025,,Net 30,09/24/2025,SO-20251205,PO_5769,"ACR-Advanced Construction Robotics, Inc.",3,0,3,498,Expansion-Module:M.2-LTE-7455,A702,498,WH01S-NTA
,Sales Order,09/26/2025,10/14/2025,,Prepay,09/26/2025,SO-20251369,165320,"Northbay Networks, Inc.",4,0,4,664,Expansion-Module:M.2-LTE-7455,A800,664,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251392,QTD_Greenzie_250924,Greenzie,5,0,5,880,Expansion-Module:M.2-LTE-7455,A777,880,WH01S-NTA
Total M.2-LTE-7455,,,,,,,,,,196,0,196,33176,,,33176,
M.230-BTWIFI-AX210,,,,,,,,,,,,,,,,,
,Sales Order,08/18/2025,10/08/2025,,Net 60,10/17/2025,SO-20251169,612452,"Uber Technologies, Inc.",20,0,20,860,Expansion-Module:M.230-BTWIFI-AX210,A800,860,WH01S-NTA
,Sales Order,08/19/2025,10/17/2025,,Net 60,10/18/2025,SO-20251175,612452,"Uber Technologies, Inc.",20,0,20,860,Expansion-Module:M.230-BTWIFI-AX210,A800,860,WH01S-NTA
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251176,612452,"Uber Technologies, Inc.",20,0,20,860,Expansion-Module:M.230-BTWIFI-AX210,A800,860,WH01S-NTA
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251177,612452,"Uber Technologies, Inc.",20,0,20,860,Expansion-Module:M.230-BTWIFI-AX210,A800,860,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251179,612452,"Uber Technologies, Inc.",20,0,20,860,Expansion-Module:M.230-BTWIFI-AX210,A800,860,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251178,612452,"Uber Technologies, Inc.",25,0,25,1075,Expansion-Module:M.230-BTWIFI-AX210,A800,1075,WH01S-NTA
,Sales Order,08/28/2025,10/21/2025,,Net 30,09/27/2025,SO-20251229,CYNGN-1275,CYNGN INC.,4,0,4,172,Expansion-Module:M.230-BTWIFI-AX210,A800,172,WH01S-NTA
,Sales Order,09/05/2025,10/24/2025,,Prepay,09/05/2025,SO-20251265,14648,The Alliance,1,0,1,43,Expansion-Module:M.230-BTWIFI-AX210,A800,43,WH01S-NTA
,Sales Order,09/16/2025,10/31/2025,,Prepay,09/16/2025,SO-20251311,14666,The Alliance,10,0,10,430,Expansion-Module:M.230-BTWIFI-AX210,A800,430,WH01S-NTA
,Sales Order,09/26/2025,10/14/2025,,Prepay,09/26/2025,SO-20251369,165320,"Northbay Networks, Inc.",4,0,4,172,Expansion-Module:M.230-BTWIFI-AX210,A800,172,WH01S-NTA
Total M.230-BTWIFI-AX210,,,,,,,,,,144,0,144,6192,,,6192,
mPCIe-Ado-AX92905,,,,,,,,,,,,,,,,,
,Sales Order,07/23/2025,01/08/2026,,Net 60,09/21/2025,SO-20251044,4500139970,Cognex Corporation,5,0,5,340,Expansion-Module:mPCIe-Ado-AX92905,A702,340,WH01S-NTA
,Sales Order,07/23/2025,01/08/2026,,Net 60,09/21/2025,SO-20251044,4500139970,Cognex Corporation,5,0,5,340,Expansion-Module:mPCIe-Ado-AX92905,A702,340,WH01S-NTA
,Sales Order,07/24/2025,09/30/2025,,Net 60,09/22/2025,SO-20251046,4500139969,Cognex Corporation,5,0,5,340,Expansion-Module:mPCIe-Ado-AX92905,A702,340,WH01S-NTA
,Sales Order,07/24/2025,09/30/2025,,Net 60,09/22/2025,SO-20251046,4500139969,Cognex Corporation,10,0,10,680,Expansion-Module:mPCIe-Ado-AX92905,A702,680,WH01S-NTA
Total mPCIe-Ado-AX92905,,,,,,,,,,25,0,25,1700,,,1700,
