,Type,Date,Ship Date,Deliv Date,Terms,Due Date,Num,P. O. #,Name,Qty,Invoiced,Backordered,Amount,Item,Rep,Open Balance,Inventory Site
Inventory,,,,,,,,,,,,,,,,,
Accessory,,,,,,,,,,,,,,,,,
,Sales Order,09/29/2025,12/31/2025,,Prepay,09/29/2025,SO-20251381,PO18348,IRD- International Road Dynamics Inc.,3,0,3,72,Accessory:Adapter-Active-DP-HDMI-BENFEI,A702,72,WH01S-NTA
Total Adapter-Active-DP-HDMI-BENFEI,,,,,,,,,,139,0,139,3336,,,3336,
Ant-RP_SMAM-WiFi-108MM,,,,,,,,,,,,,,,,,
,Sales Order,07/22/2025,09/11/2025,,Net 30,08/21/2025,SO-20251027,83150,MEDATech Engineering Services Ltd.,8,0,8,56,Accessory:Ant-RP_SMAM-WiFi-108MM,A702,56,WH01S-NTA
,Sales Order,09/05/2025,10/24/2025,,Prepay,09/05/2025,SO-20251265,14648,The Alliance,2,0,2,12,Accessory:Ant-RP_SMAM-WiFi-108MM,A800,12,WH01S-NTA
,Sales Order,09/16/2025,10/31/2025,,Prepay,09/16/2025,SO-20251311,14666,The Alliance,20,0,20,120,Accessory:Ant-RP_SMAM-WiFi-108MM,A800,120,WH01S-NTA
,Sales Order,09/26/2025,12/31/2025,,Net 30,10/26/2025,SO-20251366,PO070225,"FireFly Automatix, Inc.",12,0,12,96,Accessory:Ant-RP_SMAM-WiFi-108MM,A802,96,WH01S-NTA
Total Ant-RP_SMAM-WiFi-108MM,,,,,,,,,,42,0,42,284,,,284,
Ant-RP_SMAM-WiFi-196MM1,,,,,,,,,,,,,,,,,
,Sales Order,03/05/2025,04/24/2026,,Net 30,04/04/2025,SO-20250329,PO208679,Noah Medical U.S.,4,0,4,24,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,24,WH01S-NTA
,Sales Order,03/05/2025,06/24/2026,,Net 30,04/04/2025,SO-20250330,PO208679,Noah Medical U.S.,10,0,10,60,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,60,WH01S-NTA
,Sales Order,03/05/2025,08/25/2026,,Net 30,04/04/2025,SO-20250331,PO208679,Noah Medical U.S.,10,0,10,60,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,60,WH01S-NTA
