Order Date,Ship Date,QB Num,P. O. #,Name,Qty(-),Qty(+),Item,Inventory Site,Remark
2025/08/29,2025/10/8,POD-251238,SO-20251222,Neousys Technology Incorp.,0,9,NRU-230V-AWP-JAO64G,WH01S-NTA,SO25080478
2025/08/29,2025/10/8,POD-251238,SO-20251222,Neousys Technology Incorp.,0,12,AC-IMX390-H190,WH01S-NTA,SO25080478
2025/08/29,2025/10/8,POD-251238,SO-20251222,Neousys Technology Incorp.,0,1,AC-IMX490-H60,WH01S-NTA,SO25080478
2025/08/29,2025/10/8,POD-251238,SO-20251222,Neousys Technology Incorp.,0,1,AC-IMX490-H120,WH01S-NTA,SO25080478
2025/08/29,2025/10/29,POD-251244,,Neousys Technology Incorp.,0,3,mPCIeHS-BTWifi-WT-6218,WH01S-NTA,SO25080505
2025/08/29,2025/12/24,POD-251244,,Neousys Technology Incorp.,0,2,mPCIeHS-BTWifi-WT-6218,WH01S-NTA,SO25080505
2025/08/29,2025/10/8,POD-251246,SO-20251227,Neousys Technology Incorp.,0,1,Nuvis-7306RT-DTIO(EA),WH01S-NTA,SO25090001
2025/08/29,2025/10/8,POD-251247,SO-20251229,Neousys Technology Incorp.,0,6,Nuvo-9160GC-PoE,WH01S-NTA,SO25090002
2025/08/29,2025/10/8,POD-251248,,Neousys Technology Incorp.,0,5,Gpubr-Nuvo9160-01,WH01S-NTA,SO25090003
2025/08/29,2025/10/8,POD-251248,,Neousys Technology Incorp.,0,5,Nuvo-9006DE-PoE-UL,WH01S-NTA,SO25090003
2025/09/01,2025/10/8,POD-251251,SO-20251236,Neousys Technology Incorp.,0,2,Cbl-TpCPlug-U3TA-50CM,WH01S-NTA,SO25090021
2025/09/01,2025/10/8,POD-251251,SO-20251236,Neousys Technology Incorp.,0,8,Cbl-M12X8M-RJ45-CAT6A-500CM,WH01S-NTA,SO25090021
2025/09/01,2025/10/8,POD-251251,SO-20251236,Neousys Technology Incorp.,0,4,Cbl-M12L5F-CordEnd5-180CM,WH01S-NTA,SO25090021
2025/09/01,2025/10/8,POD-251251,SO-20251236,Neousys Technology Incorp.,0,4,Cbl-M12A8M-2U2TA-180CM2,WH01S-NTA,SO25090021
2025/09/03,2025/10/16,POD-251255,,Neousys Technology Incorp.,0,4,Nuvo-9002LP,WH01S-NTA,SO25090072
2025/08/28,,POD-251229,SO-20251228,Neousys Technology Incorp.,0,24,Cbl-M12X8M-RJ45-CAT6A-500CM,WH02D-NTA,SO25090115
2025/08/28,,POD-251229,SO-20251228,Neousys Technology Incorp.,0,6,Cbl-M12A8M-2U2TA-180CM2,WH02D-NTA,SO25090115
