Order Date,QB Num,P. O. #,Name,Qty(+),Item,Inventory Site,Deliv Date
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2.0,RDDR4-64GB-ECC32-SM,WH01S-NTA,
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,1.0,7443P-1,WH01S-NTA,
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,4.0,Cbl-IDC085F-DB9M-30CM,WH01S-NTA,
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,2.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,1.0,mPCIe-M2E,WH01S-NTA,
2025/08/15,POD-251164,SO-20251167,Neousys Technology Incorp.,1.0,RGS-8805GC-DEX,WH01S-NTA,
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,20.0,M.230-BTWIFI-AX210,WH01S-NTA,
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,20.0,GC-Jetson-AGX32GB-Orin-Nvidia,WH01S-NTA,
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,20.0,Risr-M2B-mPCIe-SIMslot,WH01S-NTA,
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,20.0,M.280-SSD-1TB-PCIe44-TLC5WT-TD,WH01S-NTA,
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,20.0,NRU-222S,WH01S-NTA,
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,20.0,mPCIe-M2E,WH01S-NTA,
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA,
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,20.0,M.2-LTE-7455,WH01S-NTA,
2025/08/19,POD-251180,SO-20251175,Neousys Technology Incorp.,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA,
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,20.0,M.230-BTWIFI-AX210,WH01S-NTA,
